Question,Answer,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,List of Solutions
Gender?,Male,Multivitamin,Vitamin D,Magnesium,Zinc,Omega-3,Vitamin A
,Female,Iron,Calcium,Biotin,Folate,Collagen,Thiamine
How old are you?,8-18,Vitamin C,Calcium,Vitamin D,Magnesium,Omega-3,Riboflavin
,19-39,Multivitamin,Vitamin D,Magnesium,B-Complex,Omega-3,Niacin
,40-60,CoQ10,Collagen,Vitamin K2,Vitamin D,Calcium,Pantothenic Acid
,60,Vitamin D,Calcium,Vitamin B12,Magnesium,Vitamin K2,Pyridoxine
How often do you work out per week?,Less than 1-2 times,Multivitamin,Probiotics,CoQ10,,,Biotin
,More than 3-4 times,BCAAs,Potassium,Protein (Collagen),,,Folate
How many hours of sleep do you get on average per night?,More than 7 hours,,,,,,Cobalamin
,Less than 6 hours,Magnesium,Melatonin,GABA,L-Theanine,Ashwagandha,Vitamin C
Do you often experience stress or anxiety per week?,Less than 1-2 times,Vitamin B6,Vitamin C,Omega-3,Rhodiola Rosea,GABA,Vitamin D
,More than 3-4 times,Ashwagandha,Magnesium,GABA,Vitamin B Complex,Omega-3,Vitamin E
Do you avoid any of these foods?,Dairy (Lactose or Casein),Vitamin D,Calcium,Probiotics,Omega-3,Zinc,Vitamin K
,Gluten (Wheat or other grains containing gluten),Zinc,Probiotics,Magnesium,Fiber,Vitamin D,Calcium
,Eggs,Biotin,B12,Protein,Iron,Omega-3,Iron
,Soy,Vitamin B12,Vitamin D,Omega-3,Protein,Magnesium,Magnesium
,Peanuts,Vitamin E,Zinc,Vitamin B6,Probiotics,Fiber,Phosphorus
,Pork,B12,Iron,Vitamin C,Protein,Magnesium,Potassium
What is your primary goal for taking supplements?,Improve energy levels,Vitamin B Complex,Iron,Magnesium,CoQ10,Vitamin C,Sodium
,Support immune health,Vitamin C,Vitamin D,Zinc,Probiotics,Selenium,Zinc
,Enhance skin and hair health,Biotin,Vitamin E,Collagen,Vitamin C,Zinc,Copper
,Support joint and bone health,Calcium,Vitamin D,Magnesium,Collagen,MSM,Manganese
,Other,,,,,,Selenium
How often do you drink alcohol per week?,More than 3 days,Milk Thistle,Vitamin B Complex,Vitamin C,Zinc,Probiotics,Iodine
,Less than 2 days,,,,,,Chromium
How many meals do you eat each day?,Less than 2,Multivitamin,Fiber,Probiotics,Vitamin B Complex,Zinc,Molybdenum
,More than 2,,,,,,Choline
How much water do you drink per day?,2 or more water bottles (2 liters),,,,,,Inositol
,1 or fewer water bottles (<2 liters),Electrolytes,Magnesium,Fiber,Vitamin C,Zinc,Lutein
How much time do you spend outdoors on a normal day?,More than an hour,,,,,,Zexanthin
,Less than an hour,Vitamin D,Calcium,Multivitamin,Magnesium,Omega-3,CoQ10
Are you currently pregnant or breastfeeding?,Yes,Folate,Iron,Calcium,Omega-3,Choline,Probiotics
,No,,,,,,Glucoasmine
How often do you experience stomach issues?,Once or twice a week,,,,,,Chondroitin
,Multiple times a week,Probiotics,Ginger,Fiber,Zinc,Aloe Vera,Astaxanthin
,,,,,,,Resveratrol
,,,,,,,Collagen
,,,,,,,Vitamin K2
,,,,,,,MSM
,,,,,,,GABA
,,,,,,,Boron
,,,,,,,Spirulina
,,,,,,,Ashwagandha
,,,,,,,Rhodiola Rosea